Mes,Año,Observado,ACCESS-CM2_r1i1p1f1,ACCESS-ESM1-5_r1i1p1f1,ACCESS-ESM1-5_r2i1p1f1,AWI-CM-1-1-MR_r1i1p1f1,BCC-CSM2-MR_r1i1p1f1,CAMS-CSM1-0_r1i1p1f1,CAMS-CSM1-0_r2i1p1f1,CanESM5-CanOE_r1i1p2f1,CanESM5_r1i1p1f1,CanESM5_r2i1p1f1,CanESM5_r3i1p1f1,CanESM5_r4i1p1f1,CanESM5_r5i1p1f1,CESM2-WACCM_r3i1p1f1,CESM2_r1i1p1f1,CESM2_r2i1p1f1,CMCC-CM2-SR5_r1i1p1f1,CMCC-ESM2_r1i1p1f1,EC-Earth3-Veg-LR_r1i1p1f1,EC-Earth3-Veg_r2i1p1f1,EC-Earth3_r1i1p1f1,FGOALS-f3-L_r1i1p1f1,FIO-ESM-2-0_r1i1p1f1,FIO-ESM-2-0_r2i1p1f1,FIO-ESM-2-0_r3i1p1f1,GFDL-ESM4_r1i1p1f1,GISS-E2-1-G_r1i1p1f2,HadGEM3-GC31-LL_r1i1p1f3,IITM-ESM_r1i1p1f1,INM-CM4-8_r1i1p1f1,INM-CM5-0_r1i1p1f1,KACE-1-0-G_r1i1p1f1,MCM-UA-1-0_r1i1p1f2,MIROC-ES2L_r1i1p1f2,MIROC6_r1i1p1f1,MIROC6_r2i1p1f1,MIROC6_r3i1p1f1,MPI-ESM1-2-HR_r2i1p1f1,MPI-ESM1-2-LR_r1i1p1f1,MPI-ESM1-2-LR_r2i1p1f1,MPI-ESM1-2-LR_r3i1p1f1,MPI-ESM1-2-LR_r4i1p1f1,MPI-ESM1-2-LR_r5i1p1f1,MRI-ESM2-0_r1i1p1f1,NESM3_r1i1p1f1,NESM3_r2i1p1f1,NorESM2-LM_r1i1p1f1,NorESM2-MM_r1i1p1f1,TaiESM1_r1i1p1f1,UKESM1-0-LL_r1i1p1f2
9,2037,,23.0,36.3,0.0,49.2,15.4,0.0,0.8,7.6,4.0,13.8,26.0,10.1,0.9,0.0,13.8,12.1,16.7,0.0,21.1,18.0,0.0,4.0,23.2,2.5,34.8,16.1,13.9,190.0,18.0,10.1,2.9,18.7,74.6,3.3,0.0,23.6,8.8,0.0,33.2,9.9,1.6,25.5,3.6,14.0,0.0,21.1,39.4,1.4,29.8,4.1
10,2037,,2.4,30.5,45.8,0.0,15.9,0.0,0.0,7.4,0.0,2.2,0.0,6.7,0.0,0.0,16.9,0.0,44.1,3.2,0.0,28.4,5.4,0.0,0.0,0.0,31.0,10.7,2.4,0.0,0.0,0.0,117.9,0.0,29.9,0.0,0.0,44.8,0.0,55.8,5.8,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,17.5,0.0
11,2037,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,45.8,0.0,0.0,4.4,0.0,7.1,0.0,4.1,5.4,1.0,0.0,0.0,3.4,0.0,11.3,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0
12,2037,,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2038,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2038,,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2038,,0.0,0.0,5.0,1.8,0.0,0.0,0.0,6.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,5.2,8.4,0.0,0.0,0.0,1.2,3.3,0.0,72.0,7.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.4,50.5,6.8,0.0,6.3,0.0,0.0,8.6,4.7,0.0,0.0,0.0,28.4,0.0
4,2038,,0.0,0.0,0.0,145.5,0.0,0.9,9.7,0.0,0.0,2.1,0.0,0.0,0.0,0.0,5.7,0.0,0.7,1.5,10.4,0.0,0.0,24.1,8.7,0.0,0.3,24.6,0.0,43.1,0.0,0.0,71.8,14.5,0.0,6.6,0.0,0.0,4.8,11.2,3.1,0.0,0.0,6.4,0.0,1.1,9.5,1.8,4.5,8.3,0.0,0.0
5,2038,,0.0,0.0,66.8,0.0,8.0,127.5,10.7,5.2,66.2,102.9,9.0,3.1,13.4,11.7,2.6,0.0,0.0,4.9,279.7,0.0,4.9,0.0,57.4,2.7,19.6,19.0,66.1,40.3,0.0,21.5,88.3,4.9,80.2,16.7,0.0,83.4,12.9,16.7,7.6,61.7,15.4,52.7,18.2,0.0,0.0,54.5,68.2,86.3,4.4,13.1
6,2038,,27.1,65.8,245.5,224.5,202.7,1.7,27.3,141.1,117.8,31.2,246.2,55.9,27.6,12.0,178.0,45.9,52.6,90.9,216.7,25.0,189.5,52.2,16.1,211.5,47.4,203.4,45.3,1.1,104.0,39.7,560.7,127.5,440.7,12.0,2.4,105.7,94.5,59.6,119.7,137.2,43.1,106.4,125.6,106.0,17.1,35.3,100.5,111.0,33.9,127.3
7,2038,,0.0,138.8,45.6,116.8,118.9,24.7,45.5,91.7,44.5,38.3,27.7,89.6,3.6,8.1,98.1,55.9,65.7,77.5,215.3,32.6,8.8,7.2,6.0,35.3,54.7,8.4,68.3,3.6,8.6,131.0,7.6,80.1,46.8,55.9,59.6,2.3,18.8,23.5,58.9,7.8,4.3,30.0,28.3,8.8,1.4,74.1,54.1,29.7,40.1,31.1
8,2038,,63.8,82.4,88.1,7.5,102.0,8.8,19.5,20.6,48.5,83.2,116.2,58.0,39.7,175.9,64.0,17.7,98.9,50.0,39.5,28.2,40.0,29.9,11.0,94.7,7.9,70.6,41.7,11.7,0.0,0.0,28.6,10.9,16.4,46.3,61.1,34.7,32.5,14.5,60.7,24.2,42.8,109.5,12.6,61.6,55.3,0.0,36.9,59.1,17.6,77.6
9,2038,,21.3,70.4,11.1,21.7,18.1,0.0,0.0,7.6,2.0,0.0,16.4,15.3,0.0,3.1,5.7,94.6,5.6,0.9,2.7,0.0,0.0,19.7,0.9,19.1,18.7,7.3,17.1,0.0,9.4,18.2,0.0,17.3,18.9,77.8,10.2,2.7,15.6,15.8,22.2,0.0,0.0,14.4,9.7,13.3,0.0,18.1,10.0,6.6,0.0,10.6
10,2038,,0.0,0.0,4.7,0.0,0.0,64.7,0.0,0.0,0.0,32.8,20.5,0.0,16.3,0.0,31.9,0.0,168.9,0.0,59.7,0.0,0.0,0.0,29.7,103.8,1.0,16.8,0.0,0.0,10.6,3.7,0.0,3.3,0.0,0.0,0.0,0.0,0.0,27.3,0.0,56.6,22.8,7.7,13.2,0.0,3.6,3.1,15.5,19.5,0.0,12.6
11,2038,,0.0,0.0,0.0,5.1,2.7,0.0,0.0,0.0,0.0,16.9,0.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0,0.0,2.5,0.0,4.8,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3
12,2038,,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2039,,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2039,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2039,,1.1,30.6,0.0,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.2,6.7,0.0,0.0,53.2,0.0,0.0,0.0,0.0,7.2,5.7,0.0,0.0,44.3,0.0,0.0,0.0,0.6,0.5,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,66.5,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,3.6,0.0,0.0,0.0
4,2039,,69.1,0.8,9.7,5.8,0.0,41.4,0.0,0.0,0.0,0.0,0.0,71.0,12.1,0.0,25.2,8.6,0.4,0.0,12.4,7.5,6.1,0.0,0.5,1.3,37.5,14.4,0.0,2.0,20.4,9.6,7.3,14.8,8.0,7.7,0.4,0.0,0.0,0.0,0.0,0.4,2.5,5.6,4.9,0.0,1.3,0.4,0.0,13.8,0.0,24.5
5,2039,,41.1,102.0,72.2,54.8,28.3,46.4,0.0,111.3,22.0,188.4,13.8,69.5,95.6,67.5,66.6,0.0,6.1,6.1,50.4,18.6,0.0,12.2,8.0,10.2,119.2,11.3,18.6,0.0,126.0,111.2,62.4,15.4,5.2,45.7,179.9,48.2,75.2,27.6,6.0,1.0,0.0,0.0,22.0,31.6,0.0,0.0,0.0,29.4,0.0,0.0
6,2039,,207.8,148.2,219.0,323.6,0.8,0.0,5.0,56.1,0.7,449.9,0.8,31.9,0.9,114.7,49.0,24.0,82.6,149.2,1.0,154.8,66.9,14.0,130.3,35.9,60.1,72.3,173.7,124.5,0.6,36.5,407.6,24.9,117.6,248.6,76.1,117.8,15.6,64.8,18.8,77.9,42.2,57.9,89.3,43.8,20.1,176.0,30.3,117.1,12.7,95.0
7,2039,,53.8,0.0,60.9,21.0,167.6,12.3,35.1,3.8,174.1,159.4,26.4,165.4,299.2,0.0,118.1,32.8,60.2,61.3,219.3,6.2,122.8,33.4,47.2,170.5,4.8,70.9,9.7,120.5,4.5,126.6,30.4,3.2,64.8,51.7,147.9,28.3,217.8,32.6,66.3,21.4,34.5,176.2,89.2,51.9,32.5,37.6,11.5,6.3,10.5,4.5
8,2039,,95.6,82.7,121.4,113.5,20.0,69.0,36.7,29.8,40.3,17.1,62.5,92.3,121.8,40.4,113.3,119.7,33.9,45.6,38.1,57.1,97.0,58.7,89.5,78.6,64.9,146.9,85.1,106.3,21.9,53.4,34.4,0.0,0.0,43.3,0.0,40.5,194.0,14.1,9.2,53.3,12.3,68.3,0.0,169.3,46.0,0.0,0.0,34.9,25.3,74.3
9,2039,,16.7,9.3,31.1,174.3,27.5,38.7,2.1,3.1,16.1,0.0,0.0,17.5,75.3,0.0,4.0,43.2,2.5,208.2,46.8,102.0,6.4,0.0,158.0,0.0,19.1,39.7,15.3,117.0,2.0,0.0,7.1,3.6,0.0,23.1,0.0,0.0,97.8,14.2,15.8,2.0,13.6,0.0,0.0,13.6,15.0,3.4,0.0,6.4,22.1,8.8
10,2039,,2.2,0.0,0.0,105.4,17.1,0.0,0.0,19.7,0.0,105.7,2.7,66.7,0.0,0.0,0.0,0.0,0.0,13.7,4.0,15.0,0.0,0.0,0.0,3.7,20.7,24.5,2.4,26.5,0.0,0.0,0.0,0.0,5.5,0.0,19.2,0.0,7.7,0.0,11.9,0.0,0.0,7.4,0.0,13.2,15.9,0.0,0.0,7.0,20.1,3.0
11,2039,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,14.9,5.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0
12,2039,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2040,,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2040,,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2040,,0.0,0.5,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,7.8,0.0,0.0,39.9,0.0,0.0,0.0,0.0,4.9,0.0,13.7,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0
4,2040,,14.3,15.1,0.0,0.0,0.0,118.8,0.0,18.9,10.9,0.0,65.2,1.0,12.2,0.0,14.2,0.0,3.6,0.0,0.0,24.0,138.8,15.8,2.1,0.9,41.7,1.6,8.6,21.7,0.0,0.0,0.0,1.1,17.1,9.5,0.0,1.8,0.0,0.0,0.0,6.9,0.0,0.0,1.5,6.3,0.0,6.9,0.0,18.0,0.0,0.0
5,2040,,23.5,6.2,17.4,0.0,47.0,42.6,0.0,47.7,1.5,15.4,7.3,33.7,24.7,5.4,163.9,71.5,166.2,1.6,76.1,78.8,87.1,0.0,13.5,12.5,42.0,19.3,8.3,0.0,0.0,73.9,0.0,6.6,10.2,62.2,55.0,0.0,117.9,1.4,4.5,64.3,0.0,66.5,8.3,30.8,39.9,6.4,84.0,88.9,57.9,59.0
6,2040,,30.3,80.2,42.2,301.7,61.0,42.4,44.7,136.7,51.5,43.3,277.0,33.4,87.6,0.0,316.1,41.5,86.7,313.5,44.2,42.9,163.6,44.5,16.4,66.5,107.4,94.4,167.8,149.5,81.2,50.8,45.4,82.9,137.4,172.8,99.4,87.0,56.8,186.1,46.2,144.0,44.8,0.9,82.6,120.1,60.2,16.2,66.1,69.1,97.7,472.6
7,2040,,58.1,3.8,0.0,9.8,23.4,74.0,38.1,66.4,27.2,37.7,33.2,71.8,0.0,0.0,7.3,16.2,59.4,77.5,29.0,50.6,71.2,51.2,179.9,27.9,8.2,26.5,36.4,130.7,45.1,0.0,32.6,8.4,90.4,41.5,0.0,2.0,70.7,29.5,236.8,115.1,61.6,60.0,10.8,50.8,0.0,6.6,51.5,113.5,22.2,244.9
8,2040,,78.4,50.4,39.0,111.4,8.9,327.1,0.0,40.6,9.5,9.6,5.7,6.5,31.8,13.4,117.0,72.8,17.1,48.8,80.2,75.7,231.1,25.6,82.8,28.9,85.3,191.9,62.1,64.0,0.0,110.8,12.6,28.9,35.8,59.9,46.1,20.0,40.2,195.3,83.9,64.1,4.8,0.0,76.1,52.7,64.1,3.5,27.5,241.7,39.1,114.4
9,2040,,0.0,33.3,6.0,23.6,19.3,9.2,18.9,1.1,0.0,19.7,20.4,0.0,9.9,3.9,16.5,2.4,15.0,174.4,23.6,8.3,15.6,1.1,19.8,12.6,154.4,8.6,18.2,23.9,15.2,13.1,0.0,25.2,16.1,8.3,4.6,0.0,2.3,4.6,7.5,20.0,0.4,0.0,90.0,15.5,11.8,16.8,0.0,25.3,29.5,22.3
10,2040,,0.0,5.3,0.0,0.0,26.9,0.0,0.0,4.8,0.0,16.3,0.0,0.0,3.5,0.0,54.4,0.0,0.0,0.0,0.0,0.0,10.5,106.9,21.6,0.0,1.9,23.7,0.0,6.8,31.1,13.5,0.0,23.4,0.0,0.0,0.0,0.0,0.0,6.8,4.5,0.0,0.0,4.5,10.0,6.9,0.0,0.0,0.0,25.1,32.2,20.7
11,2040,,0.0,0.0,0.0,13.9,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,25.7,19.6,2.5,1.6,0.0,8.7,13.7,0.9,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.0,0.0,35.3,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2040,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
1,2041,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2041,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2041,,0.0,0.6,21.4,0.0,3.9,0.0,8.2,0.0,0.0,34.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,14.8,0.2,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2041,,0.0,3.7,0.0,0.0,0.0,0.0,21.3,23.6,1.0,119.3,7.3,5.2,72.8,2.5,3.4,0.0,0.0,0.0,15.5,0.0,142.2,6.1,0.0,0.4,22.8,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.6,0.9,2.4,0.0,0.0,106.8,1.7,6.4,0.9,0.0,0.0,0.0,24.8,24.5,20.9,89.8
5,2041,,0.0,80.7,0.0,1.3,0.0,17.2,13.5,25.0,5.9,16.4,27.7,34.5,65.4,111.6,85.9,9.0,29.8,0.0,4.8,90.9,61.4,96.9,97.0,0.0,9.3,4.3,113.7,87.7,40.5,0.0,5.0,64.3,102.5,11.2,18.2,48.4,193.3,13.2,106.9,12.7,7.4,39.6,10.7,5.7,5.4,8.1,0.9,140.4,8.6,144.7
6,2041,,50.2,151.8,41.6,70.0,54.3,1.0,70.4,163.5,0.6,55.6,103.6,50.9,187.5,77.6,414.6,329.2,329.4,54.7,82.6,450.5,233.9,159.6,120.7,59.0,38.3,85.9,77.1,62.6,294.1,0.8,53.5,35.6,107.1,76.3,17.9,45.6,45.3,26.9,0.7,55.7,86.4,0.0,84.4,122.7,177.2,102.7,242.9,300.2,32.4,2.0
7,2041,,26.0,22.0,49.0,77.4,32.4,0.0,36.5,81.5,65.2,0.0,41.4,2.0,46.0,151.4,129.7,48.4,61.3,0.0,73.6,119.1,29.1,36.3,0.0,6.7,13.7,44.2,17.7,50.4,96.7,194.2,146.1,75.5,56.5,54.0,0.0,92.8,65.5,116.9,46.2,39.5,78.7,45.0,22.4,163.4,17.9,73.7,48.8,33.9,165.2,255.3
8,2041,,0.0,33.7,112.5,117.9,0.0,10.0,0.0,40.8,22.9,76.6,207.2,0.0,0.0,116.6,159.2,128.7,35.9,0.0,9.3,133.1,85.4,9.9,6.7,20.0,60.5,69.2,5.8,0.0,58.1,0.0,93.2,117.7,0.0,99.9,11.2,92.5,34.0,40.6,11.1,221.8,32.7,47.6,25.9,36.6,58.1,126.3,0.0,47.2,69.5,98.4
9,2041,,0.0,0.0,19.9,24.4,0.0,9.7,0.0,0.0,6.4,25.1,20.4,0.0,0.0,56.7,98.2,8.1,39.2,6.7,8.4,9.6,18.7,0.0,0.2,65.8,3.8,15.7,16.7,15.7,25.5,0.0,0.0,10.5,21.7,0.7,1.9,13.0,2.2,0.0,6.6,14.7,0.4,10.1,3.5,20.7,17.5,24.8,16.4,6.1,28.0,2.9
10,2041,,0.0,14.3,17.1,0.0,0.0,0.0,0.0,64.4,42.3,0.0,0.0,0.0,28.4,104.6,21.6,10.5,3.7,0.0,0.0,1.9,10.3,0.0,2.4,18.3,7.8,27.8,69.2,13.5,0.0,0.0,16.8,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,0.0,0.0,0.0,0.0,0.0,58.4
11,2041,,0.0,0.0,3.4,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,5.4,0.0,4.6,0.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,4.1,2.3,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,3.9,0.0,72.2,0.0,4.5,0.0,5.8,0.0,0.0
12,2041,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,7.7,0.0,0.0,0.0,0.0,37.8,1.3,0.0,0.0,0.0,5.4,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2042,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2042,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0
3,2042,,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.4,0.0,9.7,22.2,0.0,2.2,0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,2.7,26.8,0.1,0.0,0.5,0.0,0.0,19.1
4,2042,,0.0,5.6,1.3,18.0,7.0,0.0,5.1,29.0,18.8,27.1,105.7,5.5,0.0,0.0,0.0,9.1,13.7,0.0,0.0,1.7,17.6,0.7,5.8,0.0,0.0,0.0,0.0,86.7,0.0,32.0,0.0,0.8,1.6,0.0,20.8,16.7,0.0,23.9,0.0,44.4,14.5,1.3,4.7,37.9,5.6,0.0,11.3,0.0,17.0,0.0
5,2042,,7.2,56.6,0.0,30.8,61.5,142.3,0.0,0.0,4.8,33.8,8.1,19.3,0.0,1.1,15.9,175.0,0.5,56.2,121.0,0.0,4.5,0.0,0.0,56.0,138.9,83.5,0.0,0.0,16.3,121.4,0.0,19.3,143.7,24.4,0.0,19.3,0.0,115.3,58.2,72.9,0.0,0.0,7.9,10.8,19.6,89.1,99.5,67.7,7.3,78.4
6,2042,,49.4,43.2,78.9,32.6,127.5,94.7,128.6,20.5,58.7,284.1,425.2,61.3,0.0,336.4,49.8,0.0,174.4,0.0,115.0,155.7,0.0,4.4,60.8,538.8,169.7,111.9,176.2,129.1,95.7,74.6,69.9,24.0,122.3,29.0,342.8,117.3,145.9,332.9,129.2,71.3,52.7,46.9,73.7,25.0,124.1,43.9,247.6,135.4,54.0,90.1
7,2042,,49.7,94.3,101.0,41.1,30.5,13.1,19.4,52.6,59.4,5.9,0.0,26.0,48.3,47.5,114.9,55.4,4.8,12.5,0.0,6.0,14.4,48.3,16.2,51.5,0.0,9.2,65.5,0.0,7.3,13.9,5.4,84.0,83.8,0.0,98.3,11.8,0.0,44.7,41.1,53.3,3.5,24.8,4.8,6.3,0.1,10.7,73.1,0.0,23.1,38.2
8,2042,,19.6,0.0,106.2,0.0,39.5,0.0,13.5,240.3,60.7,75.1,13.3,5.8,56.4,4.5,31.8,50.8,58.7,30.1,27.8,0.0,49.9,22.0,66.2,64.7,13.0,11.2,15.5,34.7,30.0,17.3,51.2,29.9,0.0,0.0,0.0,70.0,0.0,19.9,36.1,0.0,88.2,20.7,150.8,14.8,55.3,124.6,51.5,32.6,35.3,12.4
9,2042,,16.0,8.2,15.7,22.7,17.5,0.0,0.0,9.0,6.9,24.3,7.1,0.5,7.8,5.9,14.0,16.3,12.9,0.0,35.3,7.4,0.0,2.3,161.7,2.6,1.3,5.4,6.5,0.0,19.6,0.0,11.4,18.6,93.1,0.0,16.5,22.3,24.6,1.6,6.9,5.0,85.1,307.8,11.9,14.8,2.6,84.3,110.3,3.3,0.0,0.0
10,2042,,21.5,0.0,0.0,0.0,4.4,4.7,10.4,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,13.4,0.0,7.2,0.0,0.0,5.0,7.1,25.2,1.8,30.8,5.2,0.0,0.0,0.0,0.0,0.0,33.9,0.0,0.0,9.7,0.0,0.0,9.1,218.2,2.8,194.0,88.6,18.7,12.3,0.0,7.2,0.0,0.0,0.0
11,2042,,1.2,0.9,0.0,14.3,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,4.7,0.0,0.0,0.0,2.5,0.0,0.0,4.3,0.0,6.6,0.0
